Year,Country Name,Country Code,Departures,Arrivals,Expenditures,Receipts
2009,Bangladesh,BGD,2254000,267000,651000000,77000000
2009,Canada,CAN,26204000,15737000,30065000000,15568000000
2009,Dominica,DMA,0,75000,13000000,77000000
2009,Gibraltar,GIB,0,0,0,0
2009,Israel,ISR,4007000,2321000,4500000000,4924000000
2009,Lithuania,LTU,1288000,1341000,1119000000,972000000
2009,Myanmar,MMR,0,763000,52000000,75000000
2009,Philippines,PHL,3188000,3017000,4056000000,2916000000
2009,Solomon Islands,SLB,0,18300,37800000,39300000
2009,Tonga,TON,0,45700,19800000,18400000
2009,Zambia,ZMB,0,710000,143000000,474000000
2010,Belgium,BEL,8801000,7186000,18866000000,11395000000
2010,Chad,TCD,39000,71000,0,0
2010,"Egypt, Arab Rep.",EGY,4618000,14051000,2696000000,13633000000
2010,Grenada,GRD,0,110000,10000000,112000000
2010,Japan,JPN,16637000,8611000,39306000000,15356000000
2010,Madagascar,MDG,0,196000,216000000,425000000
2010,Nepal,NPL,765000,603000,528000000,378000000
2010,Puerto Rico,PRI,980000,3186000,1180000000,3211000000
2010,South Sudan,SSD,0,0,0,0
2010,Turkey,TUR,6557000,31364000,5817000000,26318000000
2011,Albania,ALB,4120000,2469000,1676000000,1832000000
2011,Bermuda,BMU,0,236000,326000000,500000000
2011,China,CHN,70250000,57581000,72585000000,48464000000
2011,Eritrea,ERI,0,107000,0,0
2011,Guinea,GIN,0,131000,49000000,2120000
2011,Kenya,KEN,0,1750000,197000000,1844000000
2011,Maldives,MDV,0,931000,231000000,1966000000
2011,New Zealand,NZL,2096000,2511000,3461000000,7295000000
2011,Russian Federation,RUS,43726000,24932000,37343000000,16961000000
2011,St. Kitts and Nevis,KNA,0,104000,14000000,94000000
2011,Tuvalu,TUV,2100,1200,11450000,2400000
2012,Andorra,AND,0,2238000,0,0
2012,Bosnia and Herzegovina,BIH,0,439000,196000000,686000000
2012,"Congo, Dem. Rep.",COD,0,167000,108000000,6900000
2012,Ethiopia,ETH,0,597000,181000000,1980000000
2012,Haiti,HTI,0,349000,473000000,447000000
2012,"Korea, Rep.",KOR,13737000,11140000,22934000000,18851000000
2012,Marshall Islands,MHL,0,4600,25500000,4090000
2012,Nigeria,NGA,0,486000,9240000000,638000000
2012,San Marino,SMR,0,139000,0,0
2012,St. Vincent and the Grenadines,VCT,0,74000,13700000,94000000
2012,United Arab Emirates,ARE,0,0,15072000000,10924000000
2013,Argentina,ARG,6746000,5246000,8421000000,5199000000
2013,British Virgin Islands,VGB,0,366000,0,421000000
2013,Cote d'Ivoire,CIV,0,380000,583000000,191000000
2013,Finland,FIN,8562000,2797000,6387000000,5774000000
2013,Hungary,HUN,16038000,4388000,2526000000,6671000000
2013,Kyrgyz Republic,KGZ,3993000,4134000,505000000,585000000
2013,Mexico,MEX,15911000,24151000,11970000000,14311000000
2013,Norway,NOR,9280000,4778000,20116000000,7175000000
2013,Senegal,SEN,0,1063000,265000000,495000000
2013,Sweden,SWE,15917000,5229000,15334000000,10857000000
2013,Uruguay,URY,2281000,2683000,1504000000,2182000000
2014,Australia,AUS,9480000,6922000,32462000000,33619000000
2014,Burkina Faso,BFA,0,191000,176000000,183000000
2014,Curacao,CUW,0,452000,383000000,820000000
2014,Gabon,GAB,0,0,0,0
2014,Indonesia,IDN,8074000,9435000,10263000000,11567000000
2014,Lebanon,LBN,0,1355000,5198000000,6835000000
2014,Monaco,MCO,0,329000,0,0
2014,Palau,PLW,0,140000,17200000,131000000
2014,Sierra Leone,SLE,93000,44000,45000000,35000000
2014,Tajikistan,TJK,19000,213000,0,220200000
2014,"Venezuela, RB",VEN,1589000,857000,4118000000,900000000
2015,"Bahamas, The",BHS,0,1484000,348000000,2554000000
2015,Cambodia,KHM,1194000,4775000,641000000,3418000000
2015,Denmark,DNK,8991000,10424000,8918000000,6685000000
2015,Germany,DEU,83737000,34970000,85308000000,50652000000
2015,Ireland,IRL,7094000,9528000,5789000000,11476000000
2015,Libya,LBY,0,0,1066000000,0
2015,Morocco,MAR,1910000,10177000,2155000000,7765000000
2015,Paraguay,PRY,1008000,1215000,494000000,348000000
2015,Slovak Republic,SVK,2777000,1721000,2265000000,2480000000
2015,Timor-Leste,TLS,0,62000,100000000,51000000
2015,West Bank and Gaza,PSE,0,432000,610000000,312000000
2016,Barbados,BRB,0,632000,0,1040000000
2016,Cayman Islands,CYM,0,385000,166000000,657000000
2016,Dominican Republic,DOM,500000,5959300,882000000,6720000000
2016,Greece,GRC,7235000,24799000,3415000000,16533000000
2016,Italy,ITA,29067000,52372000,24982000000,40373000000
2016,Luxembourg,LUX,1588000,1054000,2912000000,4764000000
2016,Namibia,NAM,0,1469000,82000000,378000000
2016,Poland,POL,44500000,17471000,8617000000,12052000000
2016,Somalia,SOM,0,0,0,0
2016,Trinidad and Tobago,TTO,0,409000,230000000,708000000
2016,Zimbabwe,ZWE,3192000,2168000,406000000,194000000
2017,Belize,BLZ,0,427000,53000000,427000000
2017,Channel Islands,CHI,0,0,0,0
2017,El Salvador,SLV,1871000,1556000,466000000,1227000000
2017,Guam,GUM,0,1544000,0,0
2017,Jordan,JOR,1592000,3843500,1496000000,5549000000
2017,Malawi,MWI,0,837000,120000000,35000000
2017,Netherlands,NLD,0,17924000,22044000000,20352000000
2017,Qatar,QAT,0,2256500,12284000000,15757000000
2017,Spain,ESP,17031000,81786000,22321000000,68437000000
2017,Turkmenistan,TKM,0,0,0,0
